"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"49","43","file:/D:/d_2018_002/data/04/REVH.18","D:\d_2018_002\data\04\REVH.18","REVH.18","Signature","Done","175286","File","18","1993-04-20T16:42:58","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"50","43","file:/D:/d_2018_002/data/04/REVH.19","D:\d_2018_002\data\04\REVH.19","REVH.19","Signature","Done","114352","File","19","1993-04-20T16:43:08","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"53","43","file:/D:/d_2018_002/data/04/REVH.20","D:\d_2018_002\data\04\REVH.20","REVH.20","Signature","Done","103893","File","20","1993-04-20T16:43:16","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"52","43","file:/D:/d_2018_002/data/04/REVH.21","D:\d_2018_002\data\04\REVH.21","REVH.21","Signature","Done","100459","File","21","1993-04-20T16:43:24","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"54","43","file:/D:/d_2018_002/data/04/REVH.22","D:\d_2018_002\data\04\REVH.22","REVH.22","Signature","Done","56336","File","22","1993-04-20T16:43:28","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"55","43","file:/D:/d_2018_002/data/04/REVH.23","D:\d_2018_002\data\04\REVH.23","REVH.23","Signature","Done","48136","File","23","1993-04-20T16:43:28","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"56","43","file:/D:/d_2018_002/data/04/REVH.24","D:\d_2018_002\data\04\REVH.24","REVH.24","Signature","Done","65720","File","24","1993-04-20T16:43:32","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"57","43","file:/D:/d_2018_002/data/04/REVH.25","D:\d_2018_002\data\04\REVH.25","REVH.25","Signature","Done","60261","File","25","1993-04-20T16:43:36","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"58","43","file:/D:/d_2018_002/data/04/REVH.26","D:\d_2018_002\data\04\REVH.26","REVH.26","Signature","Done","59634","File","26","1993-04-20T16:43:38","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"59","43","file:/D:/d_2018_002/data/04/REVH.27","D:\d_2018_002\data\04\REVH.27","REVH.27","Signature","Done","58662","File","27","1993-04-20T16:43:40","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"51","2","file:/D:/d_2018_002/data/06/","D:\d_2018_002\data\06","06",,"Done","","Folder",,"2018-10-09T12:26:16","false",,"",,"","",""
"60","51","file:/D:/d_2018_002/data/06/AFKORT","D:\d_2018_002\data\06\AFKORT","AFKORT","Signature","Done","57993","File","","1993-04-20T16:44:58","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"61","51","file:/D:/d_2018_002/data/06/BEGRIP","D:\d_2018_002\data\06\BEGRIP","BEGRIP","Signature","Done","51186","File","","1993-04-20T16:44:54","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"62","51","file:/D:/d_2018_002/data/06/BIODIV","D:\d_2018_002\data\06\BIODIV","BIODIV","Signature","Done","123502","File","","1993-04-20T16:44:48","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"63","51","file:/D:/d_2018_002/data/06/BOSSEN","D:\d_2018_002\data\06\BOSSEN","BOSSEN","Signature","Done","67308","File","","1993-04-20T16:44:52","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"64","51","file:/D:/d_2018_002/data/06/INDEX","D:\d_2018_002\data\06\INDEX","INDEX","Signature","Done","60078","File","","1993-04-21T08:39:08","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"65","51","file:/D:/d_2018_002/data/06/KLIMAAT","D:\d_2018_002\data\06\KLIMAAT","KLIMAAT","Signature","Done","115760","File","","1993-04-20T16:44:38","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"66","51","file:/D:/d_2018_002/data/06/REVH.28","D:\d_2018_002\data\06\REVH.28","REVH.28","Signature","Done","52937","File","28","1993-04-20T16:43:42","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"67","51","file:/D:/d_2018_002/data/06/REVH.29","D:\d_2018_002\data\06\REVH.29","REVH.29","Signature","Done","54734","File","29","1993-04-20T16:43:44","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"68","51","file:/D:/d_2018_002/data/06/REVH.30","D:\d_2018_002\data\06\REVH.30","REVH.30","Signature","Done","63151","File","30","1993-04-20T16:43:48","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"69","51","file:/D:/d_2018_002/data/06/REVH.31","D:\d_2018_002\data\06\REVH.31","REVH.31","Signature","Done","61415","File","31","1993-04-20T16:43:50","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"70","51","file:/D:/d_2018_002/data/06/REVH.32","D:\d_2018_002\data\06\REVH.32","REVH.32","Signature","Done","59549","File","32","1993-04-20T16:43:54","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"71","51","file:/D:/d_2018_002/data/06/REVH.33","D:\d_2018_002\data\06\REVH.33","REVH.33","Signature","Done","65373","File","33","1993-04-20T16:43:58","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"72","51","file:/D:/d_2018_002/data/06/REVH.34","D:\d_2018_002\data\06\REVH.34","REVH.34","Signature","Done","73427","File","34","1993-04-20T16:44:02","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
